tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA104.218_DECp58.851,data/tiles/tile_RA104.218_DECp58.851,XE087,0,0,0,missing survivors csv
tile_RA104.218_DECp59.851,data/tiles/tile_RA104.218_DECp59.851,XE087,3,3,0,
tile_RA104.218_DECp60.851,data/tiles/tile_RA104.218_DECp60.851,XE087,3,3,0,
tile_RA104.726_DECp45.813,data/tiles/tile_RA104.726_DECp45.813,XE161,3,3,0,
tile_RA104.726_DECp46.813,data/tiles/tile_RA104.726_DECp46.813,XE161,0,0,0,missing survivors csv
tile_RA104.726_DECp47.813,data/tiles/tile_RA104.726_DECp47.813,XE161,2,2,0,
tile_RA104.726_DECp48.813,data/tiles/tile_RA104.726_DECp48.813,XE161,0,0,0,missing survivors csv
tile_RA104.726_DECp49.813,data/tiles/tile_RA104.726_DECp49.813,XE161,0,0,0,missing survivors csv
tile_RA104.779_DECm5.180,data/tiles/tile_RA104.779_DECm5.180,XE661,0,0,0,missing survivors csv
tile_RA104.779_DECm6.180,data/tiles/tile_RA104.779_DECm6.180,XE661,1,1,0,
tile_RA104.779_DECm7.180,data/tiles/tile_RA104.779_DECm7.180,XE661,0,0,0,missing survivors csv
tile_RA104.832_DECp41.731,data/tiles/tile_RA104.832_DECp41.731,XE206,2,2,0,
tile_RA104.856_DECm0.181,data/tiles/tile_RA104.856_DECm0.181,XE601,1,1,0,
tile_RA104.856_DECm1.181,data/tiles/tile_RA104.856_DECm1.181,XE601,0,0,0,missing survivors csv
tile_RA104.856_DECp0.819,data/tiles/tile_RA104.856_DECp0.819,XE601,0,0,0,missing survivors csv
