src_id,ra,dec
tile_RA199.831_DECp6.236:1473,200.1200861498,6.310105238
tile_RA199.831_DECp6.236:1504,199.8795318412,6.3051986391
tile_RA199.831_DECp7.236:264,200.1634596388,6.8950043313
tile_RA199.831_DECp7.236:485,200.1043884881,7.0275279898
tile_RA199.831_DECp7.236:1021,199.6220536846,7.588226328
tile_RA199.831_DECp7.236:1390,199.8511758403,7.3722860979
tile_RA199.831_DECp7.236:1452,199.8616593904,7.3476647612
tile_RA199.859_DECm0.764:473,199.5587289633,-0.9353209268
tile_RA199.859_DECm1.764:135,199.8339826556,-2.1487707022
tile_RA199.859_DECm2.764:205,199.9159716339,-3.0898893552
tile_RA199.859_DECm2.764:962,200.045035416,-2.6737721002
tile_RA199.859_DECp0.236:882,200.2524671546,0.2819182785
tile_RA199.859_DECp1.236:1210,200.1033428844,1.3283605587
tile_RA199.886_DECm4.764:687,199.8565271873,-4.9460473951
tile_RA199.886_DECm4.764:1674,199.9993763198,-4.5993553896
tile_RA199.886_DECm5.764:1094,199.735638778,-5.3801794181
tile_RA199.886_DECm6.764:107,199.6890926924,-7.222950433
tile_RA199.886_DECm7.764:748,200.3552107857,-7.883508362
tile_RA199.886_DECm7.764:955,200.078709846,-7.3633949455
tile_RA199.886_DECm8.764:252,199.9504310697,-9.145945782
tile_RA199.886_DECm8.764:1393,199.5733850142,-8.430321869
tile_RA2.001_DECp82.807:1096,3.764854424,82.5202320302
tile_RA2.001_DECp83.807:2327,4.8344160971,84.1773407893
tile_RA2.001_DECp83.807:3429,3.8228318702,83.9893366446
tile_RA2.001_DECp83.807:4157,4.1854985638,83.8249538028
tile_RA2.001_DECp84.807:865,3.9700040321,84.4966224333
tile_RA2.001_DECp84.807:2944,2.8166026358,84.7621689555
tile_RA2.001_DECp85.807:1463,0.8222524943,85.648864422
tile_RA2.001_DECp85.807:1573,359.1279551561,85.666024555
tile_RA2.001_DECp85.807:3373,5.9678851671,85.9466442837
tile_RA2.001_DECp86.807:1157,2.3882918046,86.5951716942
tile_RA2.146_DECp71.807:4447,2.290000864,71.7232938122
tile_RA2.685_DECm22.304:399,2.752891577,-22.6165323432
tile_RA2.685_DECm22.304:1285,2.5297815412,-22.1772327382
tile_RA2.685_DECm23.304:148,2.7616315368,-23.7359906912
tile_RA2.685_DECm23.304:539,2.3226522532,-23.5705310454
tile_RA2.685_DECm23.304:2133,2.5232698969,-22.9456261609
tile_RA2.685_DECm24.304:392,3.0443824752,-24.5779525041
