src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA335.880_DECm5.257:1168,335.5218483402,-5.0728155344,tile_RA335.880_DECm5.257,1168,4.25072,1.53078,0.0153285,0.000552415,21.5174,2.77682,0.00344194,847,1,fwhm_ratio=1.531>1.5;spread_snr=21.5>5.0,stage_S0.csv
tile_RA335.880_DECm5.257:1213,336.0108996264,-5.3213019272,tile_RA335.880_DECm5.257,1213,2.37256,0.854415,-0.00197737,0.000579874,-9.34567,2.77682,0.00344194,847,0,,stage_S0.csv
tile_RA335.880_DECm5.257:1470,335.9516719561,-4.972393261,tile_RA335.880_DECm5.257,1470,2.27216,0.81826,0.00131137,0.00115354,-1.84699,2.77682,0.00344194,847,0,,stage_S0.csv
tile_RA335.880_DECm5.257:1939,335.9436535236,-5.1856426404,tile_RA335.880_DECm5.257,1939,3.70325,1.33363,0.00035105,0.000650029,-4.755,2.77682,0.00344194,847,0,,stage_S0.csv
tile_RA335.965_DECp48.714:14108,336.4761116733,48.836843183,tile_RA335.965_DECp48.714,14108,3.35528,1.52184,0.00951379,0.000398193,21.1492,2.20476,0.00109232,7364,1,fwhm_ratio=1.522>1.5;spread_snr=21.1>5.0,stage_S0.csv
tile_RA335.965_DECp48.714:15590,335.4918733042,48.9232945194,tile_RA335.965_DECp48.714,15590,2.19707,0.996512,-0.000302522,0.000705273,-1.97774,2.20476,0.00109232,7364,0,,stage_S0.csv
tile_RA335.965_DECp48.714:19610,335.9907385775,49.0839853976,tile_RA335.965_DECp48.714,19610,3.42147,1.55186,0.00934641,0.000633826,13.0226,2.20476,0.00109232,7364,1,fwhm_ratio=1.552>1.5;spread_snr=13.0>5.0,stage_S0.csv
tile_RA336.132_DECp82.742:712,334.4877923443,82.3906586613,tile_RA336.132_DECp82.742,712,3.13369,1.12847,0.00442518,0.000611264,2.87931,2.77693,0.00266516,2182,0,,stage_S0.csv
tile_RA336.132_DECp82.742:1100,333.2277462689,82.4639498537,tile_RA336.132_DECp82.742,1100,5.29358,1.90627,0.0233731,0.000375863,55.0944,2.77693,0.00266516,2182,1,fwhm_ratio=1.906>1.5;spread_snr=55.1>5.0,stage_S0.csv
tile_RA336.132_DECp82.742:2560,336.2178659542,83.0960457511,tile_RA336.132_DECp82.742,2560,3.61876,1.30315,0.00703184,0.000643498,6.78584,2.77693,0.00266516,2182,1,spread_snr=6.8>5.0,stage_S0.csv
tile_RA336.132_DECp84.742:1935,338.779120341,84.6829487528,tile_RA336.132_DECp84.742,1935,3.7791,1.32116,0.0112425,0.000388581,22.4285,2.86044,0.00252725,1803,1,spread_snr=22.4>5.0,stage_S0.csv
tile_RA336.132_DECp84.742:2727,334.4709116329,84.7777218525,tile_RA336.132_DECp84.742,2727,2.59716,0.907957,0.00254669,0.000690353,0.0281628,2.86044,0.00252725,1803,0,,stage_S0.csv
tile_RA336.132_DECp85.742:2496,339.8733840898,85.9138989248,tile_RA336.132_DECp85.742,2496,3.68203,1.32399,0.00673536,0.000471824,8.12577,2.78102,0.00290143,1691,1,spread_snr=8.1>5.0,stage_S0.csv
tile_RA336.375_DECp36.742:4732,336.087853438,36.7675170835,tile_RA336.375_DECp36.742,4732,3.41656,1.23378,0.000853964,0.000615527,-4.65158,2.76919,0.00371714,3217,0,,stage_S0.csv
tile_RA336.375_DECp36.742:5580,336.4996763628,36.8651431338,tile_RA336.375_DECp36.742,5580,2.34787,0.847855,-0.000995858,0.00130951,-3.59906,2.76919,0.00371714,3217,0,,stage_S0.csv
tile_RA336.650_DECp65.752:3209,335.8482684386,65.5160907704,tile_RA336.650_DECp65.752,3209,2.63218,1.10967,-0.0011341,0.000477795,-5.4206,2.37203,0.00145584,4672,0,,stage_S0.csv
tile_RA336.650_DECp65.752:10190,336.3643188624,66.123205723,tile_RA336.650_DECp65.752,10190,2.75056,1.15958,0.00309651,0.000839108,1.95526,2.37203,0.00145584,4672,0,,stage_S0.csv
tile_RA336.650_DECp66.752:1406,335.9190107243,66.3744070842,tile_RA336.650_DECp66.752,1406,4.10128,1.71944,0.0135504,0.0014341,8.48221,2.38524,0.0013861,4124,1,fwhm_ratio=1.719>1.5;spread_snr=8.5>5.0,stage_S0.csv
tile_RA336.650_DECp66.752:4148,335.7472365185,66.6634435833,tile_RA336.650_DECp66.752,4148,3.92831,1.64692,0.015954,0.000731693,19.9098,2.38524,0.0013861,4124,1,fwhm_ratio=1.647>1.5;spread_snr=19.9>5.0,stage_S0.csv
