tile_id,plate_id,run_id,rows_to_S0
tile_RA122.001_DECp9.584,XE484,R1,4
tile_RA122.052_DECp59.566,XE089,R1,2
tile_RA122.079_DECp15.584,XE424,R1,1
tile_RA122.079_DECp17.584,XE424,R1,2
tile_RA122.474_DECp39.581,XE208,R1,5
tile_RA122.474_DECp42.581,XE208,R1,2
tile_RA122.474_DECp43.581,XE208,R1,5
tile_RA122.590_DECp34.594,XE257,R1,1
tile_RA122.788_DECm6.414,XE664,R1,1
tile_RA122.854_DECm0.415,XE604,R1,1
tile_RA122.854_DECm1.415,XE604,R1,3
tile_RA122.854_DECp64.612,XE059,R1,3
tile_RA122.854_DECp65.612,XE059,R1,1
tile_RA122.854_DECp66.612,XE059,R1,1
tile_RA122.895_DECp53.538,XE124,R1,3
tile_RA122.932_DECp5.585,XE544,R1,1
tile_RA122.961_DECp69.584,XE035,R1,5
tile_RA122.961_DECp70.584,XE035,R1,3
tile_RA122.961_DECp71.584,XE035,R1,2
tile_RA122.961_DECp73.584,XE035,R1,3
tile_RA123.108_DECp47.593,XE163,R1,1
tile_RA123.108_DECp48.593,XE163,R1,1
tile_RA123.128_DECp16.584,XE424,R1,2
tile_RA123.128_DECp17.584,XE424,R1,1
tile_RA123.128_DECp18.584,XE424,R1,1
tile_RA123.438_DECp29.541,XE311,R1,3
tile_RA123.468_DECp23.542,XE367,R1,3
tile_RA123.811_DECp40.581,XE208,R1,5
tile_RA123.811_DECp41.581,XE208,R1,8
tile_RA123.811_DECp42.581,XE208,R1,1
tile_RA123.854_DECm0.415,XE604,R1,2
tile_RA123.937_DECp5.585,XE544,R1,2
tile_RA124.026_DECp57.566,XE089,R1,3
tile_RA124.026_DECp58.566,XE089,R1,1
tile_RA124.026_DECp60.566,XE089,R1,3
tile_RA124.026_DECp61.566,XE089,R1,8
tile_RA124.559_DECp22.542,XE367,R1,5
tile_RA124.559_DECp23.542,XE367,R1,3
tile_RA124.578_DECp52.538,XE124,R1,7
tile_RA124.578_DECp53.538,XE124,R1,1
tile_RA124.578_DECp54.538,XE124,R1,3
tile_RA124.587_DECp28.541,XE311,R1,4
tile_RA124.587_DECp29.541,XE311,R1,2
tile_RA124.587_DECp30.541,XE311,R1,3
tile_RA124.591_DECp47.593,XE163,R1,2
